brand,Date,stocktwits_count
Nike,2021-03-08,17
Nike,2021-03-09,35
Nike,2021-03-10,21
Nike,2021-03-11,42
Nike,2021-03-12,37
Nike,2021-03-13,18
Nike,2021-03-14,15
Nike,2021-03-15,54
Nike,2021-03-16,55
Nike,2021-03-17,46
Nike,2021-03-18,185
Nike,2021-03-19,270
Nike,2021-03-20,31
Nike,2021-03-21,25
Nike,2021-03-22,73
Nike,2021-03-23,49
Nike,2021-03-24,54
Nike,2021-03-25,288
Nike,2021-03-26,130
Nike,2021-03-27,32
Nike,2021-03-28,19
Nike,2021-03-29,60
Nike,2021-03-30,59
Nike,2021-03-31,43
Nike,2021-04-01,31
Nike,2021-04-02,24
Nike,2021-04-03,12
Nike,2021-04-04,8
Nike,2021-04-05,26
Nike,2021-04-06,28
Nike,2021-04-07,32
Nike,2021-04-08,32
Nike,2021-04-09,25
Nike,2021-04-10,9
Nike,2021-04-11,8
Nike,2021-04-12,41
Nike,2021-04-13,53
Nike,2021-04-14,43
Nike,2021-04-15,17
Nike,2021-04-16,36
Nike,2021-04-17,9
Nike,2021-04-18,6
Nike,2021-04-19,30
Nike,2021-04-20,90
Nike,2021-04-21,69
Nike,2021-04-22,52
Nike,2021-04-23,60
Nike,2021-04-24,9
Nike,2021-04-25,18
Starbucks,2020-05-27,1
Starbucks,2020-05-28,65
Starbucks,2020-05-29,37
Starbucks,2020-05-30,10
Starbucks,2020-05-31,15
Starbucks,2020-06-01,37
Starbucks,2020-06-02,54
Starbucks,2020-06-03,38
Starbucks,2020-06-04,69
Starbucks,2020-06-05,58
Starbucks,2020-06-06,21
Starbucks,2020-06-07,16
Starbucks,2020-06-08,47
Starbucks,2020-06-09,30
Starbucks,2020-06-10,236
Starbucks,2020-06-11,271
Starbucks,2020-06-12,265
Starbucks,2020-06-13,50
Starbucks,2020-06-14,18
Starbucks,2020-06-15,106
Starbucks,2020-06-16,54
Starbucks,2020-06-17,49
Starbucks,2020-06-18,38
Starbucks,2020-06-19,28
Starbucks,2020-06-20,13
Starbucks,2020-06-21,11
Starbucks,2020-06-22,28
Starbucks,2020-06-23,79
Starbucks,2020-06-24,63
Starbucks,2020-06-25,46
Starbucks,2020-06-26,52
Starbucks,2020-06-27,23
Starbucks,2020-06-28,63
Starbucks,2020-06-29,75
Starbucks,2020-06-30,37
Starbucks,2020-07-01,45
Starbucks,2020-07-02,24
Starbucks,2020-07-03,12
Starbucks,2020-07-04,7
Starbucks,2020-07-05,12
Starbucks,2020-07-06,17
Starbucks,2020-07-07,24
Starbucks,2020-07-08,28
Starbucks,2020-07-09,47
Starbucks,2020-07-10,37
Starbucks,2020-07-11,5
Starbucks,2020-07-12,8
Starbucks,2020-07-13,30
Starbucks,2020-07-14,43
Starbucks,2020-07-15,74
Starbucks,2020-07-16,47
Starbucks,2020-07-17,13
Starbucks,2020-07-18,10
Starbucks,2020-07-19,7
Starbucks,2020-07-20,64
Starbucks,2020-07-21,78
Starbucks,2020-07-22,48
Starbucks,2020-07-23,39
Starbucks,2020-07-24,47
